"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"10/01/2021 13:00:00 - 10/01/2021 14:00:00","BZN|DK1","2652.00","2658.22"
"10/01/2021 14:00:00 - 10/01/2021 15:00:00","BZN|DK1","2636.00","2606.46"
"10/01/2021 15:00:00 - 10/01/2021 16:00:00","BZN|DK1","2647.00","2637.17"
"10/01/2021 16:00:00 - 10/01/2021 17:00:00","BZN|DK1","2776.00","2750.47"
"10/01/2021 17:00:00 - 10/01/2021 18:00:00","BZN|DK1","3044.00","3050.97"
"10/01/2021 18:00:00 - 10/01/2021 19:00:00","BZN|DK1","2963.00","2964.14"
"10/01/2021 19:00:00 - 10/01/2021 20:00:00","BZN|DK1","2759.00","2761.10"
"10/01/2021 20:00:00 - 10/01/2021 21:00:00","BZN|DK1","2698.00","2692.57"
"10/01/2021 21:00:00 - 10/01/2021 22:00:00","BZN|DK1","2564.00","2537.42"
"10/01/2021 22:00:00 - 10/01/2021 23:00:00","BZN|DK1","2458.00","2354.08"
"10/01/2021 23:00:00 - 11/01/2021 00:00:00","BZN|DK1","2390.00","2222.74"
"11/01/2021 00:00:00 - 11/01/2021 01:00:00","BZN|DK1","2190.00","2298.62"
"11/01/2021 01:00:00 - 11/01/2021 02:00:00","BZN|DK1","2263.00","2306.96"
"11/01/2021 02:00:00 - 11/01/2021 03:00:00","BZN|DK1","2305.00","2295.12"
"11/01/2021 03:00:00 - 11/01/2021 04:00:00","BZN|DK1","2332.00","2290.71"
"11/01/2021 04:00:00 - 11/01/2021 05:00:00","BZN|DK1","2361.00","2340.09"
"11/01/2021 05:00:00 - 11/01/2021 06:00:00","BZN|DK1","2494.00","2462.09"
"11/01/2021 06:00:00 - 11/01/2021 07:00:00","BZN|DK1","2791.00","2756.80"
"11/01/2021 07:00:00 - 11/01/2021 08:00:00","BZN|DK1","3185.00","3186.54"
"11/01/2021 08:00:00 - 11/01/2021 09:00:00","BZN|DK1","3335.00","3369.68"
"11/01/2021 09:00:00 - 11/01/2021 10:00:00","BZN|DK1","3340.00","3360.96"
"11/01/2021 10:00:00 - 11/01/2021 11:00:00","BZN|DK1","3374.00","3389.26"
"11/01/2021 11:00:00 - 11/01/2021 12:00:00","BZN|DK1","3350.00","3383.18"
"11/01/2021 12:00:00 - 11/01/2021 13:00:00","BZN|DK1","3306.00","3288.00"
"11/01/2021 13:00:00 - 11/01/2021 14:00:00","BZN|DK1","3283.00","3288.26"
"11/01/2021 14:00:00 - 11/01/2021 15:00:00","BZN|DK1","3269.00","3279.53"
"11/01/2021 15:00:00 - 11/01/2021 16:00:00","BZN|DK1","3235.00","3269.78"
