"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"10/01/2021 03:00:00 - 10/01/2021 04:00:00","BZN|DK1","Without sequence","33.87",""
"10/01/2021 04:00:00 - 10/01/2021 05:00:00","BZN|DK1","Without sequence","33.84",""
"10/01/2021 05:00:00 - 10/01/2021 06:00:00","BZN|DK1","Without sequence","34.21",""
"10/01/2021 06:00:00 - 10/01/2021 07:00:00","BZN|DK1","Without sequence","34.03",""
"10/01/2021 07:00:00 - 10/01/2021 08:00:00","BZN|DK1","Without sequence","37.61",""
"10/01/2021 08:00:00 - 10/01/2021 09:00:00","BZN|DK1","Without sequence","39.09",""
"10/01/2021 09:00:00 - 10/01/2021 10:00:00","BZN|DK1","Without sequence","40.76",""
"10/01/2021 10:00:00 - 10/01/2021 11:00:00","BZN|DK1","Without sequence","44.16",""
"10/01/2021 11:00:00 - 10/01/2021 12:00:00","BZN|DK1","Without sequence","46.24",""
"10/01/2021 12:00:00 - 10/01/2021 13:00:00","BZN|DK1","Without sequence","44.76",""
"10/01/2021 13:00:00 - 10/01/2021 14:00:00","BZN|DK1","Without sequence","44.34",""
"10/01/2021 14:00:00 - 10/01/2021 15:00:00","BZN|DK1","Without sequence","45.45",""
"10/01/2021 15:00:00 - 10/01/2021 16:00:00","BZN|DK1","Without sequence","48.03",""
"10/01/2021 16:00:00 - 10/01/2021 17:00:00","BZN|DK1","Without sequence","55.87",""
"10/01/2021 17:00:00 - 10/01/2021 18:00:00","BZN|DK1","Without sequence","62.09",""
"10/01/2021 18:00:00 - 10/01/2021 19:00:00","BZN|DK1","Without sequence","63.41",""
"10/01/2021 19:00:00 - 10/01/2021 20:00:00","BZN|DK1","Without sequence","55.24",""
"10/01/2021 20:00:00 - 10/01/2021 21:00:00","BZN|DK1","Without sequence","48.05",""
"10/01/2021 21:00:00 - 10/01/2021 22:00:00","BZN|DK1","Without sequence","44.49",""
"10/01/2021 22:00:00 - 10/01/2021 23:00:00","BZN|DK1","Without sequence","40.07",""
"10/01/2021 23:00:00 - 11/01/2021 00:00:00","BZN|DK1","Without sequence","35.88",""
